epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.106,2.40436,12.9187,2.74181,0.10251,1,0.24875,0.02488,3.82182,27.7135,3.23233,0,0,0
2,8.46787,3.87315,18.3464,3.7156,0.11817,1,0.199,0.0199,3.74783,28.331,3.17061,1.9802e-05,1.9802e-05,1.9802e-05
3,10.5991,5.45527,136.235,5.22562,0.1322,1,0.199,0.0199,3.7063,28.2597,3.13521,3.9208e-05,3.9208e-05,3.9208e-05
